#### 1.tsv

year	value
1977	79
1978	228
1979	305
1980	416
1981	545
1982	772
1983	845
1984	974
1985	975
1986	1441
1987	1748
1988	1213
1989	2044
1990	2138
1991	2639
1992	3049
1993	4224
1994	5249
1995	5871
1996	7473
1997	9028
1998	8126
1999	9433
2000	10420
2001	8114
2002	7303
2003	8471
2004	11053
2005	13287
2006	12433
2007	12883
2008	10883
2009	8505
2010	8553
2011	8793
2012	8413
2013	6378
2014	5604
2015	4341

#### 2.tsv

year	incorporated_companies	closed_companies
1977	79	23
1978	228	32
1979	305	119
1980	416	188
1981	545	246
1982	772	368
1983	845	510
1984	974	548
1985	975	628
1986	1441	638
1987	1748	879
1988	1213	1182
1989	2044	661
1990	2138	935
1991	2639	781
1992	3049	811
1993	4224	1013
1994	5249	1429
1995	5871	2318
1996	7473	2816
1997	9028	3454
1998	8126	4764
1999	9433	5299
2000	10420	5102
2001	8114	7020
2002	7303	6900
2003	8471	5976
2004	11053	6273
2005	13287	6339
2006	12433	7668
2007	12883	7576
2008	10883	7988
2009	8505	9645
2010	8553	10418
2011	8793	8953
2012	8413	8810
2013	6378	9925
2014	5604	9988
2015	4341	8864

#### 3.tsv

jurisdiction_description	year	value
BAHAMAS	1984	3
BAHAMAS	1986	1
BAHAMAS	1988	1
BAHAMAS	1989	2
BAHAMAS	1990	194
BAHAMAS	1991	390
BAHAMAS	1992	435
BAHAMAS	1993	886
BAHAMAS	1994	1484
BAHAMAS	1995	1615
BAHAMAS	1996	1780
BAHAMAS	1997	2222
BAHAMAS	1998	1813
BAHAMAS	1999	1404
BAHAMAS	2000	1217
BAHAMAS	2001	293
BAHAMAS	2002	177
BAHAMAS	2003	149
BAHAMAS	2004	174
BAHAMAS	2005	193
BAHAMAS	2006	222
BAHAMAS	2007	264
BAHAMAS	2008	186
BAHAMAS	2009	96
BAHAMAS	2010	148
BAHAMAS	2011	102
BAHAMAS	2012	114
BAHAMAS	2013	117
BAHAMAS	2014	143
BAHAMAS	2015	89
BELIZE	2004	2
BELIZE	2005	1
BELIZE	2008	2
BELIZE	2011	2
BELIZE	2012	1
BELIZE	2013	14
BELIZE	2014	65
BELIZE	2015	43
BRITISH ANGUILLA	1995	1
BRITISH ANGUILLA	1999	4
BRITISH ANGUILLA	2000	2
BRITISH ANGUILLA	2001	4
BRITISH ANGUILLA	2002	3
BRITISH ANGUILLA	2003	1
BRITISH ANGUILLA	2005	14
BRITISH ANGUILLA	2006	10
BRITISH ANGUILLA	2007	229
BRITISH ANGUILLA	2008	169
BRITISH ANGUILLA	2009	153
BRITISH ANGUILLA	2010	267
BRITISH ANGUILLA	2011	627
BRITISH ANGUILLA	2012	473
BRITISH ANGUILLA	2013	462
BRITISH ANGUILLA	2014	501
BRITISH ANGUILLA	2015	333
BRITISH VIRGIN ISLANDS	1978	4
BRITISH VIRGIN ISLANDS	1979	5
BRITISH VIRGIN ISLANDS	1980	8
BRITISH VIRGIN ISLANDS	1981	1
